municipality,rate,rate_percent
"Strömsund",0.3492,34.92
"Sundbyberg",0.3158,31.58
"Sundsvall",0.3388,33.88
"Sunne",0.3375,33.75
"Surahammar",0.3319,33.19
"Svalöv",0.3192,31.92
"Svedala",0.3142,31.42
"Svenljunga",0.3353,33.53
"Säffle",0.338,33.8
"Säter",0.343,34.3
"Sävsjö",0.3368,33.68
"Söderhamn",0.3317,33.17
"Söderköping",0.3353,33.53
"Södertälje",0.3238,32.38
"Sölvesborg",0.3386,33.86
"Tanum",0.3304,33.04
"Tibro",0.3319,33.19
"Tidaholm",0.3355,33.55
"Tierp",0.33,33
"Timrå",0.3438,34.38
"Tingsryd",0.34,34
"Tjörn",0.3319,33.19
"Tomelilla",0.3179,31.79
"Torsby",0.343,34.3
"Torsås",0.3379,33.79
"Tranemo",0.3298,32.98
"Tranås",0.3377,33.77
"Trelleborg",0.3158,31.58
"Trollhättan",0.3384,33.84
"Trosa",0.3203,32.03
"Tyresö",0.3183,31.83
"Täby",0.2988,29.88
"Töreboda",0.332,33.2
"Uddevalla",0.3364,33.64
"Ulricehamn",0.3253,32.53
"Umeå",0.3465,34.65
"Upplands Väsby",0.3175,31.75
"Upplands-Bro",0.3173,31.73
"Uppsala",0.3285,32.85
"Uppvidinge",0.338,33.8
"Vadstena",0.3435,34.35
"Vaggeryd",0.3325,33.25
"Valdemarsvik",0.3403,34.03
"Vallentuna",0.3123,31.23
"Vansbro",0.3428,34.28
"Vara",0.3325,33.25
"Varberg",0.3173,31.73
"Vaxholm",0.3163,31.63
"Vellinge",0.2968,29.68
"Vetlanda",0.3377,33.77
"Vilhelmina",0.355,35.5
"Vimmerby",0.3422,34.22
"Vindeln",0.352,35.2
"Vingåker",0.335,33.5
"Vårgårda",0.3309,33.09
"Vänersborg",0.3369,33.69
"Vännäs",0.352,35.2
"Värmdö",0.3131,31.31
"Värnamo",0.3328,33.28
"Västervik",0.3302,33.02
"Västerås",0.3124,31.24
"Växjö",0.3219,32.19
"Ydre",0.341,34.1
"Ystad",0.3129,31.29
"Åmål",0.3394,33.94
"Ånge",0.3462,34.62
"Åre",0.3392,33.92
"Årjäng",0.3425,34.25
"Åsele",0.3545,35.45
"Åstorp",0.3147,31.47
"Åtvidaberg",0.3394,33.94
"Älmhult",0.3386,33.86
"Älvdalen",0.3477,34.77
"Älvkarleby",0.344,34.4
"Älvsbyn",0.3379,33.79
"Ängelholm",0.3135,31.35
"Öckerö",0.3304,33.04
"Ödeshög",0.3395,33.95
"Örebro",0.3365,33.65
"Örkelljunga",0.3024,30.24
"Örnsköldsvik",0.3385,33.85
"Östersund",0.3372,33.72
"Österåker",0.2893,28.93
"Östhammar",0.333,33.3
"Östra Göinge",0.3217,32.17
"Överkalix",0.3414,34.14
"Övertorneå",0.3384,33.84
